country,capital,name,xid,kinds,wikipedia_extracts,clear_link,category,latitude,longitude
Austria,Vienna,Novomatic Forum,N2084149832,"cultural,theatres_and_entertainments,interesting_places,other_theatres","Das Novomatic-Forum ist ein Bauwerk in Wien in der Friedrichstraße 7, das im Besitz der Firma Novomatic steht. Vor dem Kauf durch Novomatic im Jahr 2007 war es die Zentrale des Österreichischen Verkehrsbüros.",https://upload.wikimedia.org/wikipedia/commons/1/14/Wien_-_%C3%96sterreichisches_Verkehrsb%C3%BCro%2C_ehemalige_Zentrale.JPG,cultural,48.200127,16.366461
Austria,Vienna,Marc Anton Gruppe,N1066090541,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments","Das Marc-Anton-Monument, oftmals als Marc-Anton-Gruppe bezeichnet, an der Friedrichstraße und neben dem Wiener Secessionsgebäude in der österreichischen Bundeshauptstadt Wien ist eine Bronze-Großplastik aus den Jahren 1899/1900. Sie wurde von dem Secessions-Künstler Arthur Strasser für die Pariser Weltausstellung 1900 geschaffen und anschließend neben dem Secessionsgebäude aufgestellt. Es zeigt den römischen Feldherrn und Politiker Marcus Antonius im Triumphwagen mit einem Löwengespann.Die Statue wird im Volksmund gelegentlich als „Löwenfiaker“ bezeichnet.",https://upload.wikimedia.org/wikipedia/commons/f/f0/Wien_-_Marc-Anton-Monument.JPG,historic,48.200581,16.366182
Austria,Vienna,Friedrich Schiller,N296915188,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",Das Schiller-Denkmal zu Ehren des Dichters Friedrich Schillers (1759–1805) befindet sich auf dem Schillerplatz vor der Akademie der bildenden Künste im 1. Wiener Gemeindebezirk Innere Stadt.,https://upload.wikimedia.org/wikipedia/commons/f/f4/Schillerdenkmal%2C_Vienna.jpg,historic,48.202118,16.365499
Austria,Vienna,Atelierhaus,W115114243,"historic_architecture,architecture,interesting_places,other_buildings_and_structures","Das Atelierhaus der Akademie der bildenden Künste Wien (ehem. Semperdepot, davor k.k. Hoftheater-Kulissendepot bzw. Decorations-Depot für die k.k. Hoftheater) wurde 1874 bis 1877 von den Architekten Gottfried Semper, nach dem es auch benannt war, und Carl Freiherr von Hasenauer erbaut und diente als Depot und Produktionsstätte für Theaterdekorationen und -kulissen. Es liegt in der Lehargasse 6–8 im 6. Wiener Gemeindebezirk Mariahilf.",https://upload.wikimedia.org/wikipedia/commons/d/de/Semperfidelis.JPG,historic_architecture,48.20005,16.361944
China,Beijing,Li Dazhao Former Residence,Q4165201,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",李大钊故居，是中国共产党早期领导人李大钊和家人于1920年－1922年间的居所，位于当时石驸马后宅35号，即今北京市西城区文华胡同24号。故居售票参观，票价10元。,https://upload.wikimedia.org/wikipedia/commons/0/05/Xhutong01st.jpg,historic_architecture,39.904686,116.366051
China,Beijing,Lama Temple,N3807999856,"religion,buddhist_temples,monasteries,interesting_places","The Yonghe Temple (Chinese: 雍和宫, ""Palace of Peace and Harmony""), also known as the Yonghe Lamasery, or popularly as the Lama Temple, is a temple and monastery of the Gelug school of Tibetan Buddhism located in Dongcheng District, Beijing, China. The building and artwork of the temple is a combination of Han Chinese and Tibetan styles.",https://upload.wikimedia.org/wikipedia/commons/9/98/Pavillon_des_dix_mille_bonheurs.jpg,religion,39.946411,116.410973
China,Beijing,Dahui Temple,Q1157508,"religion,buddhist_temples,interesting_places","The Dahui Temple (Chinese: 大慧寺), literally Temple of Great Wisdom, is a Ming Dynasty Buddhist temple located in Beijing. It is located in the western Haidian District of the city. It lies in the street Dahui Si Road near the Xueyuan Nan Road. It was first built in 1513, and restored in 1757. The temple is known for its Buddhist sculptures: 28 colored Buddhist statues, all over three meters tall. These carving are described to be great works of art of the Ming era.",https://upload.wikimedia.org/wikipedia/commons/f/f8/Dahui_Temple.jpg,religion,39.952221,116.326668
Finland,Helsinki,Aleksanteri Lounge,N648249321,"historic_architecture,architecture,cultural,theatres_and_entertainments,interesting_places,restaurants,foods,opera_houses,tourist_facilities,other_buildings_and_structures","Alexander Theatre (Finnish: Aleksanterin teatteri, Swedish: Alexandersteatern) is a Finnish theatre in the city of Helsinki at Bulevardi 23-27, also known as Russian Theater.",https://upload.wikimedia.org/wikipedia/commons/8/83/Alexander_Theater.JPG,historic_architecture,60.164299,24.933064
Finland,Helsinki,Smolna,Q3487053,"historic_architecture,architecture,interesting_places,other_buildings_and_structures","The Smolna is an Empire style building in the Kaartinkaupunki district of Helsinki, Finland. It is used as a banquet hall of the Cabinet of Finland and state visit meeting premises of the President and the Prime Minister.",https://upload.wikimedia.org/wikipedia/commons/9/9f/Smolna_Helsinki.jpg,historic_architecture,60.167057,24.949879
Finland,Helsinki,Arppeanum,Q20251824,"historic_architecture,architecture,interesting_places,other_buildings_and_structures","Arppeanum on Keisarilliselle Aleksanterin-Yliopistolle vuonna 1869 valmistunut ja pitkään Helsingin yliopistolle kuulunut historiallinen rakennus, joka sijaitsee Helsingin Senaatintorin koillisnurkassa, Snellmaninkadun ja Hallituskadun kulmassa. Rakennuksen suunnitteli arkkitehti Carl Albert Edelfelt. Yliopisto luopui rakennuksesta vuoden 2014 lopussa ja se on nykyään valtioneuvoston kanslian käytössä.",https://upload.wikimedia.org/wikipedia/commons/8/8b/Snellmaninkatu_3-5.jpg,historic_architecture,60.170296,24.953804
