country,capital,name,xid,kinds,lat,lon,wikipedia_extracts,image
Austria,Vienna,Novomatic Forum,N2084149832,"cultural,theatres_and_entertainments,interesting_places,other_theatres",16.366461,48.200127,"Das Novomatic-Forum ist ein Bauwerk in Wien in der Friedrichstraße 7, das im Besitz der Firma Novomatic steht. Vor dem Kauf durch Novomatic im Jahr 2007 war es die Zentrale des Österreichischen Verkehrsbüros.",https://commons.wikimedia.org/wiki/File:Wien_-_%C3%96sterreichisches_Verkehrsb%C3%BCro%2C_ehemalige_Zentrale.JPG
Austria,Vienna,Marc Anton Gruppe,N1066090541,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",16.366182,48.200581,"Das Marc-Anton-Monument, oftmals als Marc-Anton-Gruppe bezeichnet, an der Friedrichstraße und neben dem Wiener Secessionsgebäude in der österreichischen Bundeshauptstadt Wien ist eine Bronze-Großplastik aus den Jahren 1899/1900. Sie wurde von dem Secessions-Künstler Arthur Strasser für die Pariser Weltausstellung 1900 geschaffen und anschließend neben dem Secessionsgebäude aufgestellt. Es zeigt den römischen Feldherrn und Politiker Marcus Antonius im Triumphwagen mit einem Löwengespann.Die Statue wird im Volksmund gelegentlich als „Löwenfiaker“ bezeichnet.",https://commons.wikimedia.org/wiki/File:Wien_-_Marc-Anton-Monument.JPG
Austria,Vienna,Дом Сецессион,W25371168,"museums,cultural,interesting_places,art_galleries",16.365774,48.200504,"Выставочный павильон Венского сецессиона — Дом сецессиона, часто называемый «Сецессионом», был построен в 1897—1898 гг. Йозефом Мария Ольбрихом. Это один из наиболее значимых архитектурных памятников австрийского модерна, известного также как Сецессион.Большую часть расходов на строительство взяли на себя сами художники, город бесплатно предоставил земельный участок. Для города возведение здания связывалось с обустройством реки Вены и новым обликом площади Карлсплац (нем. Karlsplatz). Но эти планы, как и план разбить аллею между церковью Карлскирхе (нем. Karlskirche) и Домом сецессиона, не были реализованы.",https://commons.wikimedia.org/wiki/File:Wien_-_Secessionsgeb%C3%A4ude.JPG
Austria,Vienna,Венский технический университет,N249711655,"historic_architecture,architecture,interesting_places,restaurants,foods,tourist_facilities,other_buildings_and_structures",16.367483,48.198936,"Венский технический университет (нем. Technische Universität Wien, сокр. TU Wien) — один из крупных университетов в Вене, основанный в 1815 году под названием «Императорско-королевский политехнический институт». В настоящее время в университете 8 факультетов с 56 институтами, включающие 21 отделение бакалавриата, 43 отделения магистратуры и 3 отделения докторантуры. В университете обучаются 17 600 студентов (19 % иностранцев; 30 % женщин). Штат составляет 4 тыс. сотрудников, из них 1800 — преподавательский состав. Учебная программа и исследовательская деятельность университета сосредоточена на технических и естественных науках.",https://commons.wikimedia.org/wiki/File:Technische_Universit%C3%A4t_Wien_mainbuilding_mainentrance_northview_.jpg
Austria,Vienna,Tilgner-Brunnen,N524581347,"fountains,urban_environment,cultural,interesting_places",16.369219,48.199745,Der Tilgner-Brunnen (auch: Froschbrunnen) ist ein Brunnen im Resselpark am Karlsplatz im 4. Wiener Gemeindebezirk Wieden.,https://commons.wikimedia.org/wiki/File:Tilgner_Brunnen%2C_Vienna.jpg
Austria,Vienna,Ан дер Вин,R1581063,"cultural,theatres_and_entertainments,interesting_places,other_theatres",16.363821,48.199806,"Театр Ан дер Вин, также Театр ан дер Вин (нем. Theater an der Wien — буквально «Театр на реке Вена»; в настоящее время река заключена в трубу и не видна) — музыкальный театр, расположенный в 6-м округе Вены Мариахильф.Театр был построен в 1798—1801 гг. в стиле ампир по проекту архитектора Франца Йегера для труппы под руководством известного импресарио Эмануэля Шиканедера, первого исполнителя партии Папагено в опере Вольфганга Амадея Моцарта «Волшебная флейта»; в память об этом одни из ворот театра, Ворота Папагено (нем. Papagenotor), были украшены скульптурной группой с изображением этого персонажа. Эти ворота сохранились, в остальном здание было значительно перестроено в 1902 году.",https://commons.wikimedia.org/wiki/File:Wien_Theater_an_der_Wien_Papagenotor.jpg
Austria,Vienna,Friedrich Schiller,N296915188,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",16.365499,48.202118,Das Schiller-Denkmal zu Ehren des Dichters Friedrich Schillers (1759–1805) befindet sich auf dem Schillerplatz vor der Akademie der bildenden Künste im 1. Wiener Gemeindebezirk Innere Stadt.,https://commons.wikimedia.org/wiki/File:Schillerdenkmal%2C_Vienna.jpg
Austria,Vienna,Schutzengelbrunnen,W309431475,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,monuments",16.367367,48.197792,Der Schutzengelbrunnen ist ein Brunnen auf dem Rilkeplatz im 4. Wiener Gemeindebezirk Wieden.,https://commons.wikimedia.org/wiki/File:Schutzengelbrunnen_Rilkeplatz_DSC_0437w.jpg
Austria,Vienna,Нашмаркт,Q417645,"cultural,urban_environment,interesting_places,squares",16.3636,48.198898,"На́шмаркт (нем. Naschmarkt — «продуктовый рынок») — открытый рынок недалеко от центра Вены. Расположен на границе городских районов Виден и Мариахильф между двумя бывшими берегами реки Вена, убранной в этом месте в конце XIX века под землю. Параллельно реке, под рынком проходит линия метро U4.Является самым большим рынком во внутренних районах Вены. На участке между Карлсплац и выходом из станции метро «Кеттенбрюкенгассе» ежедневно работает продуктовый рынок, небольшое количество павильонов, продающих одежду, а также несколько кафе. На участке за выходом из метро, обычно занятом парковкой, по субботам располагается блошиный рынок.",https://commons.wikimedia.org/wiki/File:Wien_-_Naschmarkt.JPG
Austria,Vienna,Венский технический университет,N3664526435,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",16.369879,48.198925,"Венский технический университет (нем. Technische Universität Wien, сокр. TU Wien) — один из крупных университетов в Вене, основанный в 1815 году под названием «Императорско-королевский политехнический институт». В настоящее время в университете 8 факультетов с 56 институтами, включающие 21 отделение бакалавриата, 43 отделения магистратуры и 3 отделения докторантуры. В университете обучаются 17 600 студентов (19 % иностранцев; 30 % женщин). Штат составляет 4 тыс. сотрудников, из них 1800 — преподавательский состав. Учебная программа и исследовательская деятельность университета сосредоточена на технических и естественных науках.",https://commons.wikimedia.org/wiki/File:Technische_Universit%C3%A4t_Wien_mainbuilding_mainentrance_northview_.jpg
Austria,Vienna,"Semperdepot, Atelierhaus der Akademie der Bildenden Künste",W115114243,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",16.361944,48.20005,"Das Atelierhaus der Akademie der bildenden Künste Wien (ehem. Semperdepot, davor k.k. Hoftheater-Kulissendepot bzw. Decorations-Depot für die k.k. Hoftheater) wurde 1874 bis 1877 von den Architekten Gottfried Semper, nach dem es auch benannt war, und Carl Freiherr von Hasenauer erbaut und diente als Depot und Produktionsstätte für Theaterdekorationen und -kulissen. Es liegt in der Lehargasse 6–8 im 6. Wiener Gemeindebezirk Mariahilf.",https://commons.wikimedia.org/wiki/File:Semperfidelis.JPG
Austria,Vienna,Венский дом художников,N637647137,"museums,cultural,cinemas,theatres_and_entertainments,interesting_places,art_galleries",16.371334,48.200985,"Дом художников в Вене (нем. Künstlerhaus Wien) — выставочный комплекс в центре города Вены, с главным входом с площади Карлсплац. Владельцем является «Австрийское общество художников» (нем. Gesellschaft bildender Künstler Österreichs, Künstlerhaus), которое является старейшей существующей художественной организацией в Австрии.",https://commons.wikimedia.org/wiki/File:WienKuenstlerhaus.jpg
Austria,Vienna,Tiertränkebrunnen,Q2432559,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",16.3619,48.200901,Der Tiertränkebrunnen ist ein denkmalgeschützter (Listeneintrag) Brunnen in der Gumpendorfer Straße nahe der Rahlstiege mit dem Gänsemädchenbrunnen im 6. Wiener Gemeindebezirk Mariahilf.Der von Adolf Stöckl gemeinsam mit dem Bildhauer Josef Thorak geschaffene Tiertränkebrunnen wurde von der Opernsängerin Hedwig Francillo-Kauffmann gemeinsam mit anderen Tierfreunden gestiftet und am 22. Juli 1916 enthüllt. Der ursprüngliche Aufstellungsort befand sich bei der Wiener Secession. 1968 wurde er an seinen gegenwärtigen Standort auf dem sogenannten Papiermacherplatzl übersiedelt.,https://commons.wikimedia.org/wiki/File:GuentherZ_2008-07-14_0234_Wien06_Tiertraenkebrunnen.jpg
